Sl,Category,SubCategory,Name,Address,Phone1,Phone2,Phone3,Email,City
1,কেন্দ্রীয় অফিস,প্রধান কার্যালয়,কেন্দ্রীয় দফতর,"৩১/ভি, (২য় তলা), শিল্পাচার্য জয়নুল আবেদিন সড়ক, শান্তিনগর, ঢাকা-১২১৭",+8801714974333,+8802222221441,+8802483193377,info@quantummethod.org.bd,ঢাকা
2,কেন্দ্রীয় অফিস,সেবা কার্যক্রম,স্বাগতায়ন,"১/১, পায়োনিয়ার রোড, ওয়াইএমসিএ ভবন, সেগুনবাগিচা, কাকরাইল, ঢাকা-১০০০",+8801711671858,+8801329746610,,shagatayan@quantummethod.org.bd,ঢাকা
3,কেন্দ্রীয় অফিস,রক্তদান,স্বেচ্ছা রক্তদান কার্যক্রম,"৩১/ভি, (নিচতলা), শিল্পাচার্য জয়নুল আবেদিন সড়ক, শান্তিনগর, ঢাকা-১২১৭",+8801714010869,+8802222221869,+880248322809,blood@quantummethod.org.bd,ঢাকা
4,কেন্দ্রীয় অফিস,দাফন সেবা,দাফন সেবা কার্যক্রম,"১/১, পায়োনিয়ার রোড, ওয়াইএমসিএ ভবন, সেগুনবাগিচা, কাকরাইল, ঢাকা-১০০০",+8801313486509,+8801313486515,,dafon@quantummethod.org.bd,ঢাকা
5,কেন্দ্রীয় অফিস,ওয়েব সাপোর্ট,ওয়েব সাপোর্ট,-,+8801617826886,,,webmaster@quantummethod.org.bd,ঢাকা
6,ঢাকা বিভাগ,সেন্টার,উত্তরা সেন্টার,"বাসা#৩৫, (নিচতলা), রোড#১৩, সেক্টর#০৩, উত্তরা, ঢাকা-১২৩০",+8801329746728,+880241090598,+8801923968888,uttara@quantummethod.org.bd,ঢাকা
7,ঢাকা বিভাগ,সেন্টার,বনশ্রী সেন্টার,"বাড়ি নং#২৩, রোড নং#১, ব্লক#এ, (২য় তলা), বনশ্রী আ/এ, রামপুরা, ঢাকা-১২১৯",+8801740630856,+88028396815,+8801329746620,banasree@quantummethod.org.bd,ঢাকা
8,ঢাকা বিভাগ,সেন্টার,বনানী সেন্টার,"বাড়ি নং #৫৯, (৩য় তলা), রোড নং #১, ব্লক #আই, বনানী, ঢাকা-১২১৩",+8801979003000,+8801689193800,+8801329746626,banani@quantummethod.org.bd,ঢাকা
9,ঢাকা বিভাগ,সেন্টার,মতিঝিল সেন্টার,"৯২ আরামবাগ, আল খালিফ টাওয়ার, ২য় তলা, কালভার্ট রোড, আরামবাগ, মতিঝিল, ঢাকা-১০০০",+8801744885511,+880241070091,+880241070092,motijheel@quantummethod.org.bd,ঢাকা
10,ঢাকা বিভাগ,সেন্টার,মিরপুর সেন্টার,"বাড়ি#৫/২, ব্লক#ই, রোড#৬, মিরপুর-২, ঢাকা-১২১৬",+8801870725921,+880248038922,+8801713087068,mirpur@quantummethod.org.bd,ঢাকা
11,ঢাকা বিভাগ,শাখা,ধানমণ্ডি শাখা,"বাড়ি#৮৯/এ, নিচতলা, রোড#৮/এ, ধানমণ্ডি আ/এ, ঢাকা-১২০৯",+8801822989598,+8801828154294,+8801329746634,dhanmondi@quantummethod.org.bd,ঢাকা
12,ঢাকা বিভাগ,শাখা,পল্লবী শাখা,"বসন্ত ভবন, বাসা#০৫, রোড#০৭, সেকশন#সাড়ে ১১, মিরপুর, ঢাকা-১২১৬",+8801870725901,+8801870725902,+8809678771422,pallabi@quantummethod.org.bd,ঢাকা
13,ঢাকা বিভাগ,শাখা,মহাখালী শাখা,"বাড়ি#গ-৫৮, (২য় তলা), মহাখালী স্কুল রোড, মহাখালী, ঢাকা-১২১২",+8801827567540,+88028831714,+8801329746625,mohakhali@quantummethod.org.bd,ঢাকা
14,ঢাকা বিভাগ,শাখা,মোহাম্মদপুর শাখা,"বাড়ি-১৪, (হ্যাপি মার্ট-এর ৪র্থ তলা), মোহাম্মাদিয়া হাউজিং লি. মেইন রোড, মোহাম্মদপুর, ঢাকা-১২০৭",+8801329746622,,,mohammadpur@quantummethod.org.bd,ঢাকা
15,ঢাকা বিভাগ,শাখা,লালবাগ শাখা,"১৭১/২, লালবাগ রোড, আজিমপুর, ঢাকা-১২০৫",+8801733312419,+8802223367574,+8801329746654,lalbagh@quantummethod.org.bd,ঢাকা
16,ঢাকা বিভাগ,শাখা,নিকেতন শাখা,"বাড়ি নং#১১৬, (নিচতলা), রোড নং#৯, ব্লক#সি, নিকেতন, গুলশান-১, ঢাকা-১২১২",+8801611633623,+8802222282920,+8801329746627,niketon@quantummethod.org.bd,ঢাকা
17,ঢাকা বিভাগ,শাখা,দনিয়া শাখা,"বাড়ি#২৭, জিয়া স্মরণী রোড, দনিয়া, কদমতলী, ঢাকা-১২৩৬",+8801729222333,+88027540114,+8801750752605,dania@quantummethod.org.bd,ঢাকা
18,ঢাকা বিভাগ,শাখা,যাত্রাবাড়ী শাখা,"১৩৩/৩, পশ্চিম যাত্রাবাড়ী, দয়াগঞ্জ মোড়, ঢাকা-১২০৪",+8801783598558,+8801329746645,,jatrabari@quantummethod.org.bd,ঢাকা
19,ঢাকা বিভাগ,শাখা,সবুজবাগ শাখা,"২১০/বি, (২য় তলা), খিলগাঁও চৌধুরীপাড়া, ঢাকা-১২১৯",+8801670707000,+8801931951090,+8801329746647,sabujbagh@quantummethod.org.bd,ঢাকা
20,ঢাকা বিভাগ,শাখা,পান্থপথ শাখা,"৬৪/৬ পশ্চিম পান্থপথ, (৩য় তলা), কলাবাগান, ঢাকা-১২০৫",+8801329746629,,,panthapath@quantummethod.org.bd,ঢাকা
21,ঢাকা বিভাগ,শাখা,শাহবাগ কার্যালয়,"শেলটেক খেয়া (২য় তলা), কাটাবন মোড়, ২০৫ এলিফ্যান্ট রোড, ঢাকা-১২০৫",+8801757443322,+88029614644,+8801740978601,shahbag@quantummethod.org.bd,ঢাকা
